Varianta factorilor,Procentul de varianta extrasa,Procentul de varianta cumulat
1.7421812992262717,12.444152137330512,12.444152137330512
1.713675724185571,12.240540887039792,24.684693024370304
1.540261306154235,11.00186647253025,35.68655949690056
1.324288358548762,9.459202561062586,45.14576205796314
1.3133036278952053,9.380740199251466,54.5265022572146
1.158137089196493,8.272407779974952,62.79891003718956
0.8309034791168944,5.93502485083496,68.73393488802452
0.5543296463966484,3.959497474261774,72.69343236228629
0.359004195082973,2.5643156791640926,75.25774804145038
0.19235120593960545,1.373937185282896,76.63168522673328
0.08300960889729452,0.592925777837818,77.2246110045711
0.021183183860904252,0.1513084561493161,77.37591946072041
0.006050544049636959,0.04321817178312114,77.41913763250353
